property_name,room_id,stay_duration_in_days,booking_window,distance_to_coastline,lat,review_sentiment_score,lng,rating,average_daily_rate
Puri Kelapa,405584,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,405583,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,397405,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,396433,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,398335,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,397711,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,397946,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,397394,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,397400,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,397396,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,397399,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,397403,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,396232,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,395987,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Puri Kelapa,395986,1,2,442.7447923120926,-8.822391,-0.3281,115.0871096,3.0,349993.09
Villa Bahagia,396441,2,12,2201.29,-8.803833,0.351954,115.1450882,5.0,2520487.1
Villa Bahagia,396440,2,12,2201.29,-8.803833,0.351954,115.1450882,5.0,2520487.1
Uluwatu Village House,436733,1,0,1183.19,-8.835272,0.892837,115.119866,5.0,418033.48
Raka & Rai Guesthouse,398561,1,0,1121.276804394496,-8.6488877,0.0359058581029652,115.1361637,3.0,490098.6
Raka & Rai Guesthouse,397688,1,0,1121.276804394496,-8.6488877,0.0359058581029652,115.1361637,3.0,490098.6
Sunrise House,399308,2,32,2663.3725459775887,-8.5740741,0.629625,115.2136803,5.0,4662966.125
Comeback Guesthouse,398514,3,5,1118.4524442641125,-8.6464854,0.4542706864300152,115.1504805,4.0,466764.68
Comeback Guesthouse,398513,3,5,1118.4524442641125,-8.6464854,0.4542706864300152,115.1504805,4.0,466764.68
Comeback Guesthouse,398515,3,5,1118.4524442641125,-8.6464854,0.4542706864300152,115.1504805,4.0,466764.68
NH Residence,472846,3,49,2755.41,-8.807392,0.3878956270651343,115.157375,4.0,2122081.82
NH Residence,464417,3,49,2755.41,-8.807392,0.3878956270651343,115.157375,4.0,2122081.82
NH Residence,396432,3,49,2755.41,-8.807392,0.3878956270651343,115.157375,4.0,2122081.82
Villa Rumah Pertama,396445,1,136,3125.52,-8.810648,0.976818,115.156482,5.0,2822043.43
De Kutuh Villa,396429,4,91,2633.787769876857,-8.721841394637238,0.0163507730319363,114.84648310664156,3.0,2384976.8925
De Kutuh Villa,396430,4,91,3582.7576186778606,-8.707499337524718,0.0088394320485694,114.68399163108866,3.0,2384976.8925
NDBV Lot 3,399305,3,174,107.471,-8.8358803,0.4967391640884235,115.2066574,4.0,5046471.476667
Kubu Mesari,399294,4,46,2553.42,-8.631898,0.4326848983974578,115.13356,4.0,1574944.05
Teges Asri,443739,2,3,476.861,-8.809038,-0.459094,115.115846,4.0,610124.815
Teges Asri,434758,2,3,476.861,-8.809038,-0.459094,115.115846,4.0,610124.815
Teges Asri,398528,2,3,476.861,-8.809038,-0.459094,115.115846,4.0,610124.815
Teges Asri,397739,2,3,476.861,-8.809038,-0.459094,115.115846,4.0,610124.815
Teges Asri,397689,2,3,476.861,-8.809038,-0.459094,115.115846,4.0,610124.815
Bingin Surf Left,402332,4,7,569.1902751312009,-8.763256386990372,0.4471872526602345,115.1552340208576,4.0,477578.315
D''House of Gembala,381228,2,2,15562.420037822829,-7.7287222,0.763302,110.3845639,5.0,2605494.525
Omah Gerjen 29,435784,4,4,14402.1,-7.802683,0.994993,110.360967,5.0,480111.9525
Omah Gerjen 29,381229,4,4,14402.1,-7.802683,0.994993,110.360967,5.0,480111.9525
Omah Gerjen 29,378269,4,4,14402.1,-7.802683,0.994993,110.360967,5.0,480111.9525
Omah Gerjen 29,378268,4,4,14402.1,-7.802683,0.994993,110.360967,5.0,480111.9525
Omah Gerjen 29,378267,4,4,14402.1,-7.802683,0.994993,110.360967,5.0,480111.9525
Omah Gerjen 29,378266,4,4,14402.1,-7.802683,0.994993,110.360967,5.0,480111.9525
Omah Gerjen 29,378260,4,4,14402.1,-7.802683,0.994993,110.360967,5.0,480111.9525
Rumah Budi Susanto,475730,1,13,15296.59573751854,-7.770902,0.773285,110.4285759,5.0,1350218.56
Rumah Budi Susanto,387364,1,13,15296.59573751854,-7.770902,0.773285,110.4285759,5.0,1350218.56
Pondok Bagus Guesthouse,397679,1,1,1093.22,-8.652609,0.870535,115.13751,5.0,410111.41
Pondok Bagus Guesthouse,397680,1,1,1093.22,-8.652609,0.870535,115.13751,5.0,410111.41
Villa Arindra,441616,2,25,1935.58,-8.797821,0.3960497111401375,115.149441,4.0,2500524.09
Villa Arindra,417040,2,25,1935.58,-8.797821,0.4104172348271175,115.149441,4.0,2500524.09
Villa Arindra,396438,2,25,1935.58,-8.797821,0.3992023284471022,115.149441,4.0,2500524.09
Villa Arindra,395989,2,25,1935.58,-8.797821,0.4104172348271175,115.149441,4.0,2500524.09
Asri Village,397667,1,3,1163.26,-8.835766,0.4145656568674942,115.123054,4.0,430009.8
Villa Kyl 2BR,395990,2,133,1033.16,-8.837896,0.996825,115.151689,5.0,1881389.8
Villa Tortoise,425903,3,3,21.9135,-8.8054876,0.984334,115.1137161,5.0,3366571.243333
Villa Tortoise,399315,3,3,21.9135,-8.8054876,0.984334,115.1137161,5.0,3366571.243333
Villa Tortoise,399303,3,3,21.9135,-8.8054876,0.984334,115.1137161,5.0,3366571.243333
Goa Giri Hill Bungalow,393208,1,14,65.8603,-8.709399,0.982097,115.586846,2.0,320117.19
Goa Giri Hill Bungalow,393265,1,14,65.8603,-8.709399,0.982097,115.586846,2.0,320117.19
Goa Giri Hill Bungalow,393264,1,14,65.8603,-8.709399,0.982097,115.586846,2.0,320117.19
Goa Giri Hill Bungalow,393209,1,14,65.8603,-8.709399,0.982097,115.586846,2.0,320117.19
Goa Giri Hill Bungalow,393207,1,14,65.8603,-8.709399,0.982097,115.586846,2.0,320117.19
Amazon Guesthouse,397693,6,1,2791.11,-8.646509,-0.839522,115.154492,5.0,446768.575
Pondok Nini Villa,399307,12,89,11926.3,-8.50706,0.1537078769899951,115.276521,4.0,1080222.5475
Pondok Chesia,398521,2,0,1167.620899008587,-8.6385989,0.4547125848885116,115.1438355,4.0,450070.39
Pondok Chesia,397682,2,0,1167.620899008587,-8.6385989,0.4547125848885116,115.1438355,4.0,450070.39
Dream Breeze Village,434365,7,0,1098.55,-8.836065,0.999225,115.11936,5.0,384357.621429
Dream Breeze Village,399834,7,0,1098.55,-8.836065,0.999225,115.11936,5.0,384357.621429
Dream Breeze Village,397675,7,0,1098.55,-8.836065,0.999225,115.11936,5.0,384357.621429
Kinton Guesthouse,434895,3,1,121.038,-8.675762,0.92246,115.56743,5.0,213356.563333
Kinton Guesthouse,393188,3,1,121.038,-8.675762,0.92246,115.56743,5.0,213356.563333
Kinton Guesthouse,391680,3,1,121.038,-8.675762,0.92246,115.56743,5.0,213356.563333
Breeze Hidden Village,435112,2,0,1133.15,-8.835812,0.4157798803333312,115.118645,4.0,375075.34
Breeze Hidden Village,434923,2,0,1133.15,-8.835812,0.4157798803333312,115.118645,4.0,375075.34
Breeze Hidden Village,399830,2,0,1133.15,-8.835812,0.4157798803333312,115.118645,4.0,375075.34
Breeze Hidden Village,397714,2,0,1133.15,-8.835812,0.4157798803333312,115.118645,4.0,375075.34
Breeze Hidden Village,397668,2,0,1133.15,-8.835812,0.4157798803333312,115.118645,4.0,375075.34
Breeze Hidden Village,396428,2,0,1133.15,-8.835812,0.4157798803333312,115.118645,4.0,375075.34
Villa Malindo,399314,7,17,1778.4411570438824,-8.7846485,0.874702,115.1552891,5.0,1584319.314286
